code,coords
"""EB20""=>NULL","48.9664, 6.9351"
"""EB20""=>NULL","49.5098, 5.3785"
"""EB20""=>NULL","48.0329, 5.9892"
"""B14""=>""30""","47.7934, 7.0291"
"""B14""=>""30""","49.0176, 4.1276"
"""B14""=>""90"", ""M9z""=>""rappel""","49.3010, 4.0283"
"""B14""=>""50""","49.2320, 4.0359"
"""C108""=>NULL","49.2804, 4.0094"
"""EB10""=>NULL","49.0213, 4.4160"
"""B14""=>""50"", ""M3a""=>""1""","49.6838, 4.9725"
"""B14""=>""70""","48.7942, 3.7453"
"""EB20""=>NULL","49.0214, 4.4160"
"""B14""=>""30""","49.0253, 4.4218"
"""EB20""=>NULL","49.2283, 4.7676"
"""EB20""=>NULL","49.1242, 4.8501"
"""B33""=>""30""","49.1235, 4.5427"
"""EB20""=>NULL","49.1216, 4.5454"
"""B14""=>""90"", ""M9z""=>""rappel""","49.1981, 4.3083"
"""B14""=>""50""","49.2169, 4.0468"
"""B14""=>""70""","48.7125, 3.7430"
"""EB10""=>NULL","49.1136, 4.5822"
"""EB10""=>NULL","49.2809, 4.0102"
"""B14""=>""30""","49.4233, 4.0945"
"""EB10""=>NULL","48.7742, 5.1172"
"""EB20""=>NULL","48.6703, 7.1030"
"""B14""=>""80""","49.3880, 4.0390"
"""B14""=>""70"", ""M3a""=>""1""","49.7902, 4.6426"
"""EB20""=>NULL","48.7789, 7.0539"
"""EB10""=>NULL","48.2651, 4.0907"
"""B33""=>""30""","49.6029, 4.7963"
"""B14""=>""90""","49.0143, 4.1348"
"""EB10""=>NULL","48.9250, 6.5568"
"""B14""=>""90""","49.0051, 4.2006"
"""EB20""=>NULL","49.7701, 4.7105"
"""B14""=>""30""","49.8184, 4.5845"
"""B14""=>""30"", ""M3a""=>""1""","48.7697, 7.6057"
"""C108""=>NULL","49.9356, 4.5363"
"""B14""=>""70""","48.8343, 7.8000"
"""C108""=>NULL","49.2846, 4.0197"
"""C108""=>NULL","49.1774, 6.8978"
"""EB10""=>""AGGLO""","49.1794, 6.2100"
"""EB20""=>NULL","47.6129, 7.5736"
"""B14""=>""90""","47.7822, 7.1940"
"""B14""=>""30""","49.7459, 4.7143"
"""B14""=>""90""","47.7823, 7.1941"
"""EB10""=>""AGGLO""","49.4491, 4.7686"
"""B14""=>""70""","49.2287, 4.0313"
"""EB10""=>NULL","48.9437, 4.3991"
"""B14""=>""30""","49.2721, 5.1424"
"""EB10""=>NULL","49.0807, 4.7889"
"""B14""=>""90""","49.0795, 4.7936"
"""B14""=>""30""","49.2258, 6.3347"
"""EB10""=>NULL","49.2258, 6.3347"
"""B14""=>""50""","48.1954, 3.6459"
"""B14""=>""50""","48.1842, 3.6574"
"""B14""=>""70"", ""M9z""=>""rappel""","49.2799, 4.0086"
"""B14""=>""30""","48.9308, 7.1294"
"""B14""=>""30""","48.0244, 7.5358"
"""B14""=>""90"", ""M9z""=>""rappel""","49.2001, 4.2828"
"""EB10""=>NULL","49.0172, 4.2539"
"""B14""=>""30""","49.0247, 4.4205"
"""EB20""=>NULL","48.1875, 4.1658"
"""B14""=>""30"", ""M4f""=>""7.5t""","48.4284, 4.7285"
"""B14""=>""50""","49.2449, 4.0280"
"""EB20""=>NULL","49.4250, 4.1710"
"""EB10""=>NULL","48.4057, 6.2120"
"""EB10""=>NULL","48.9429, 4.3959"
"""B14""=>""90""","49.1019, 4.6619"
"""B14""=>""30""","48.4092, 6.2164"
"""B14""=>""90""","49.0843, 4.7652"
"""B14""=>""70""","49.2653, 4.1241"
"""B14""=>""50""","49.2655, 4.1234"
"""B14""=>""90"", ""M9z""=>""rappel""","49.2067, 4.1877"
"""B14""=>""90"", ""M9z""=>""rappel""","49.2125, 4.1577"
"""B14""=>""90"", ""M9z""=>""rappel""","49.2125, 4.1553"
"""B14""=>""90"", ""M9z""=>""rappel""","49.1997, 4.2861"
"""EB20""=>NULL","48.2900, 4.5148"
"""B14""=>""40""","48.6820, 6.9684"
"""B14""=>""90"", ""M9z""=>""rappel""","49.2036, 4.2311"
"""B14""=>""50""","49.2250, 4.0262"
"""B14""=>""90"", ""M9z""=>""rappel""","49.1938, 4.3602"
"""EB10""=>NULL","49.4190, 6.2957"
"""EB10""=>NULL","49.1395, 7.4263"
"""B14""=>""70""","48.3821, 7.4249"
"""B14""=>""50""","48.6398, 5.1232"
"""EB10""=>NULL","49.2602, 5.9342"
"""EB10""=>NULL","48.9299, 7.9864"
"""EB10""=>NULL","49.0238, 6.9699"
"""EB20""=>NULL","49.4372, 6.3056"
"""B14""=>""30"", ""M9z""=>""rappel""","49.1178, 7.0426"
"""EB10""=>NULL","47.7908, 7.3872"
"""B14""=>""70""","48.7384, 4.1563"
"""B14""=>""80""","49.2995, 4.3888"
"""EB20""=>NULL","49.2320, 3.9978"
"""EB20""=>NULL","49.5302, 4.2266"
"""EB10""=>NULL","48.2627, 6.5085"
"""EB10""=>NULL","47.6654, 7.3540"
"""B14""=>""50""","48.8474, 3.9736"
"""B14""=>""30""","48.0185, 7.2940"
"""B14""=>""30""","49.3160, 6.0209"
"""B14""=>""70""","49.0417, 7.0220"
"""B14""=>""70""","47.8682, 7.3364"
"""B14""=>""50"", ""M9z""=>""rappel""","49.3173, 6.0229"
"""B14""=>""70""","49.3224, 6.0365"
"""EB10""=>NULL","48.6567, 5.1808"
"""EB10""=>NULL","48.9196, 5.2407"
"""EB10""=>NULL","48.6492, 5.1828"
"""B14""=>""90"", ""M9z""=>""rappel""","48.6731, 7.7486"
"""M1""=>""150 m"", ""B14""=>""50""","48.4390, 6.7276"
"""EB10""=>NULL","49.4992, 5.1924"
"""EB20""=>NULL","48.6642, 3.5547"
"""B14""=>""30""","48.2483, 6.4273"
"""C107""=>NULL","48.2396, 6.4131"
"""B14""=>""40""","48.7113, 7.5296"
"""EB10""=>NULL","48.8907, 8.0918"
"""B14""=>""30""","49.3337, 6.0502"
"""M2""=>""400 m"", ""B14""=>""30""","49.3436, 6.0301"
"""EB10""=>NULL","49.0099, 7.0340"
"""B14""=>""30""","48.7703, 6.4326"
"""EB10""=>NULL","49.5302, 4.2265"
"""B14""=>""30""","48.5827, 4.8954"
"""B14""=>""90"", ""M9z""=>""rappel""","48.6104, 4.5573"
"""B14""=>""30""","48.6485, 6.1501"
"""EB20""=>NULL","49.3670, 6.4465"
"""B14""=>""70""","49.4029, 5.9260"
"""EB20""=>NULL","48.2376, 4.7693"
"""B14""=>""30""","49.3525, 6.4637"
"""B14""=>""50"", ""M4G""=>NULL","48.4215, 5.5261"
"""EB10""=>NULL","48.6808, 7.1294"
"""EB10""=>NULL","48.7113, 7.5296"
"""EB10""=>NULL","49.0782, 7.0815"
"""B14""=>""50""","48.7136, 4.9457"
"""B14""=>""30""","48.7429, 7.0396"
"""EB10""=>NULL","49.0728, 6.5614"
"""B14""=>""70""","49.0498, 7.5916"
"""EB10""=>NULL","48.7154, 4.9469"
"""EB20""=>NULL","48.6831, 7.2227"
"""B14""=>""30""","49.1378, 7.0022"
"""EB10""=>NULL","48.8644, 6.3931"
"""EB10""=>""AGGLO""","50.0163, 4.7252"
